state_name,year,quarter_file,total_insurance_transactions,total_insurance_amount
andhra-pradesh,2022,3.json,39301,48791931
west-bengal,2022,1.json,38779,51160527
haryana,2022,4.json,37971,56627115
karnataka,2021,1.json,37595,30183325
haryana,2023,1.json,37287,61127194
rajasthan,2023,2.json,37170,61301449
kerala,2022,1.json,37110,64172190
bihar,2023,3.json,36550,45832355
gujarat,2022,4.json,36418,50629325
andhra-pradesh,2023,2.json,36376,52067478
telangana,2022,1.json,36325,51942016
delhi,2022,3.json,35944,41570160
kerala,2022,2.json,35667,59920203
haryana,2022,3.json,35346,45402800
andhra-pradesh,2023,1.json,34920,51963355
telangana,2021,4.json,34848,38845492
rajasthan,2023,1.json,34415,61441050
telangana,2020,3.json,34395,8406543
delhi,2021,4.json,34251,36578331
rajasthan,2022,3.json,33975,45565544
bihar,2022,4.json,33895,43914519
west-bengal,2022,2.json,33542,41737021
andhra-pradesh,2021,2.json,33205,22730687
odisha,2024,4.json,33165,46973224
assam,2024,1.json,33097,48107248
tamil-nadu,2021,4.json,33037,42184290
uttar-pradesh,2021,3.json,32799,32641118
gujarat,2023,1.json,32600,46937694
gujarat,2023,2.json,32484,46254095
andhra-pradesh,2022,2.json,32185,41708072
karnataka,2020,4.json,31747,26814968
gujarat,2022,3.json,31302,37557227
andhra-pradesh,2022,1.json,29954,42648157
madhya-pradesh,2023,3.json,29300,46963348
madhya-pradesh,2022,4.json,29234,42712883
bihar,2023,2.json,29212,40354886
jharkhand,2024,4.json,29079,42253614
telangana,2021,2.json,28870,20935651
bihar,2022,3.json,28511,34704251
telangana,2021,1.json,28298,14810947
delhi,2022,1.json,28232,35442069
odisha,2024,1.json,27977,40032495
karnataka,2020,2.json,27358,4794150
telangana,2021,3.json,27080,20925217
madhya-pradesh,2023,2.json,27027,44871764
bihar,2023,1.json,26929,38746711
odisha,2024,3.json,26524,40608651
madhya-pradesh,2023,1.json,26393,45135679
delhi,2022,2.json,26378,31787281
west-bengal,2021,4.json,26320,31282871
uttar-pradesh,2021,2.json,25952,25137571
andhra-pradesh,2021,4.json,25423,31610335
gujarat,2022,2.json,25381,32090965
haryana,2022,2.json,25352,33759068
odisha,2023,4.json,25065,39753392
west-bengal,2021,3.json,24839,21424337
jharkhand,2024,1.json,24824,34332990
odisha,2024,2.json,24579,36840474
odisha,2022,4.json,24538,33565401
rajasthan,2022,2.json,24333,33748931
uttar-pradesh,2021,1.json,24103,18027573
jharkhand,2024,3.json,23629,34353146
assam,2023,4.json,23168,38731734
tamil-nadu,2021,3.json,23107,23402918
andhra-pradesh,2021,3.json,23075,19914338
haryana,2022,1.json,22783,32526943
madhya-pradesh,2022,3.json,22733,29185118
chhattisgarh,2024,4.json,22723,37421165
assam,2023,3.json,22593,35618158
bihar,2021,4.json,22456,27313813
jharkhand,2023,4.json,22398,33484644
assam,2024,2.json,22368,34796603
jharkhand,2024,2.json,22224,32245129
gujarat,2022,1.json,22221,29953433
odisha,2023,2.json,22163,31307110
andhra-pradesh,2021,1.json,22105,12749874
andhra-pradesh,2020,2.json,22104,3982391
assam,2023,1.json,22100,36963888
bihar,2022,2.json,21892,28212833
assam,2024,4.json,21805,35336229
rajasthan,2022,1.json,21517,31576932
andhra-pradesh,2020,4.json,21464,12985632
telangana,2020,4.json,20961,11339099
odisha,2023,3.json,20263,29008350
bihar,2022,1.json,20253,27755736
chhattisgarh,2024,1.json,19579,30083259
haryana,2021,4.json,19489,25885838
jharkhand,2023,3.json,19478,25165702
rajasthan,2021,4.json,19375,24455262
kerala,2021,4.json,19199,31260319
gujarat,2021,4.json,19142,23282921
telangana,2020,2.json,19003,3419453
odisha,2023,1.json,18899,29360555
odisha,2022,3.json,18898,23308531
assam,2022,4.json,18826,29239168
rajasthan,2021,2.json,18281,14357445
uttar-pradesh,2020,3.json,18131,4436969
bihar,2021,3.json,18030,18234941
rajasthan,2021,1.json,17800,8074225
tamil-nadu,2021,2.json,17682,16444344
assam,2024,3.json,17633,31388971
uttar-pradesh,2020,4.json,17470,14180417
chhattisgarh,2023,4.json,17300,29704673
jharkhand,2022,4.json,16779,23147805
delhi,2021,3.json,16679,15007079
jharkhand,2023,2.json,16662,23216215
rajasthan,2021,3.json,16643,12793862
chhattisgarh,2024,3.json,16550,27724060
assam,2023,2.json,16475,28368139
punjab,2024,4.json,16279,31878987
assam,2022,1.json,16230,27447766
jharkhand,2023,1.json,16108,23823406
chhattisgarh,2024,2.json,15724,25935743
punjab,2024,3.json,15509,30111034
west-bengal,2021,1.json,15488,11172042
gujarat,2021,3.json,15348,12341903
rajasthan,2020,3.json,15235,3758527
west-bengal,2021,2.json,15200,12396029
madhya-pradesh,2021,4.json,15069,17524432
madhya-pradesh,2021,2.json,14803,9787391
punjab,2024,1.json,14729,28213940
gujarat,2021,2.json,14676,10263998
madhya-pradesh,2022,2.json,14629,20159098
madhya-pradesh,2020,3.json,14476,3496126
madhya-pradesh,2021,1.json,14427,5567927
tamil-nadu,2021,1.json,14406,11180849
jharkhand,2022,3.json,14388,18156857
bihar,2021,2.json,14301,13301581
haryana,2021,3.json,14163,13215898
assam,2022,3.json,14149,22543564
punjab,2024,2.json,14129,27164397
punjab,2023,3.json,14048,24461488
madhya-pradesh,2022,1.json,13791,19901462
punjab,2023,4.json,13777,28715828
delhi,2021,2.json,13292,10840929
punjab,2023,2.json,13187,24998175
uttarakhand,2024,4.json,13090,23367549
delhi,2021,1.json,12822,9655261
gujarat,2021,1.json,12673,7288104
west-bengal,2020,3.json,12596,2878482
bihar,2021,1.json,12554,8796619
gujarat,2020,3.json,12525,3335812
haryana,2021,2.json,12516,11272453
rajasthan,2020,4.json,12509,6471573
odisha,2022,2.json,12371,16631095
punjab,2022,3.json,12370,19381895
punjab,2022,4.json,12187,21727831
chhattisgarh,2022,4.json,11994,18137856
madhya-pradesh,2021,3.json,11990,7806258
chhattisgarh,2023,3.json,11927,17838382
delhi,2020,2.json,11716,1897480
uttarakhand,2024,1.json,11533,19531483
haryana,2021,1.json,11038,7297880
odisha,2020,3.json,10955,2640191
kerala,2021,3.json,10926,13255646
punjab,2023,1.json,10816,23330966
