state_name,year,quarter_file,total_transactions,previous_quarter_transactions
meghalaya,2021,1.json,747646,754008
meghalaya,2021,2.json,909594,747646
meghalaya,2021,3.json,1097731,909594
meghalaya,2021,4.json,1440193,1097731
meghalaya,2022,1.json,1674750,1440193
meghalaya,2022,2.json,2044649,1674750
meghalaya,2022,3.json,4359165,2044649
meghalaya,2022,4.json,3932448,4359165
meghalaya,2023,1.json,4164705,3932448
meghalaya,2023,2.json,5077212,4164705
meghalaya,2023,3.json,6029842,5077212
meghalaya,2023,4.json,7268384,6029842
meghalaya,2024,1.json,8531262,7268384
meghalaya,2024,2.json,11089661,8531262
meghalaya,2024,3.json,12110124,11089661
meghalaya,2024,4.json,14166380,12110124
mizoram,2018,1.json,18561,NULL
mizoram,2018,2.json,27051,18561
mizoram,2018,3.json,39316,27051
mizoram,2018,4.json,55242,39316
mizoram,2019,1.json,70306,55242
mizoram,2019,2.json,75671,70306
mizoram,2019,3.json,98094,75671
mizoram,2019,4.json,125239,98094
mizoram,2020,1.json,153609,125239
mizoram,2020,2.json,198462,153609
mizoram,2020,3.json,254703,198462
mizoram,2020,4.json,322607,254703
mizoram,2021,1.json,329575,322607
mizoram,2021,2.json,394340,329575
mizoram,2021,3.json,478529,394340
mizoram,2021,4.json,553329,478529
mizoram,2022,1.json,604917,553329
mizoram,2022,2.json,643977,604917
mizoram,2022,3.json,659038,643977
mizoram,2022,4.json,693774,659038
mizoram,2023,1.json,1052595,693774
mizoram,2023,2.json,1208930,1052595
mizoram,2023,3.json,1310413,1208930
mizoram,2023,4.json,1500728,1310413
mizoram,2024,1.json,1627016,1500728
mizoram,2024,2.json,1977079,1627016
mizoram,2024,3.json,2360206,1977079
mizoram,2024,4.json,2702443,2360206
nagaland,2018,1.json,42845,NULL
nagaland,2018,2.json,65599,42845
nagaland,2018,3.json,94371,65599
nagaland,2018,4.json,139333,94371
nagaland,2019,1.json,168579,139333
nagaland,2019,2.json,188753,168579
nagaland,2019,3.json,261878,188753
nagaland,2019,4.json,317170,261878
nagaland,2020,1.json,378051,317170
nagaland,2020,2.json,517566,378051
nagaland,2020,3.json,736319,517566
nagaland,2020,4.json,847825,736319
nagaland,2021,1.json,975897,847825
nagaland,2021,2.json,1130791,975897
nagaland,2021,3.json,1356792,1130791
nagaland,2021,4.json,1631483,1356792
nagaland,2022,1.json,1925952,1631483
nagaland,2022,2.json,2031329,1925952
nagaland,2022,3.json,1894113,2031329
nagaland,2022,4.json,2476205,1894113
nagaland,2023,1.json,2685570,2476205
nagaland,2023,2.json,2922001,2685570
nagaland,2023,3.json,3422331,2922001
nagaland,2023,4.json,3797179,3422331
nagaland,2024,1.json,4258924,3797179
nagaland,2024,2.json,5598700,4258924
nagaland,2024,3.json,6981635,5598700
nagaland,2024,4.json,7921552,6981635
odisha,2018,1.json,5809821,NULL
odisha,2018,2.json,8158144,5809821
odisha,2018,3.json,30052155,8158144
odisha,2018,4.json,21142798,30052155
odisha,2019,1.json,34031942,21142798
odisha,2019,2.json,29512024,34031942
odisha,2019,3.json,41422272,29512024
odisha,2019,4.json,64995633,41422272
odisha,2020,1.json,53682307,64995633
odisha,2020,2.json,50028576,53682307
odisha,2020,3.json,66033829,50028576
odisha,2020,4.json,92324950,66033829
odisha,2021,1.json,111460358,92324950
odisha,2021,2.json,131824337,111460358
odisha,2021,3.json,177362674,131824337
odisha,2021,4.json,233925366,177362674
odisha,2022,1.json,263633499,233925366
odisha,2022,2.json,313451598,263633499
odisha,2022,3.json,386687326,313451598
odisha,2022,4.json,445714743,386687326
odisha,2023,1.json,482896088,445714743
odisha,2023,2.json,544597829,482896088
odisha,2023,3.json,622397603,544597829
odisha,2023,4.json,732137476,622397603
odisha,2024,1.json,864178452,732137476
odisha,2024,2.json,944027735,864178452
odisha,2024,3.json,1023940349,944027735
odisha,2024,4.json,1143097568,1023940349
puducherry,2018,1.json,104212,NULL
puducherry,2018,2.json,130261,104212
puducherry,2018,3.json,190271,130261
puducherry,2018,4.json,307964,190271
puducherry,2019,1.json,501092,307964
puducherry,2019,2.json,580077,501092
puducherry,2019,3.json,716826,580077
puducherry,2019,4.json,1012655,716826
puducherry,2020,1.json,1207921,1012655
puducherry,2020,2.json,1033383,1207921
puducherry,2020,3.json,1730902,1033383
puducherry,2020,4.json,2716003,1730902
puducherry,2021,1.json,3309432,2716003
puducherry,2021,2.json,3751387,3309432
puducherry,2021,3.json,5121726,3751387
puducherry,2021,4.json,6368810,5121726
puducherry,2022,1.json,7359176,6368810
puducherry,2022,2.json,8643687,7359176
puducherry,2022,3.json,7042727,8643687
puducherry,2022,4.json,7556127,7042727
puducherry,2023,1.json,10144295,7556127
puducherry,2023,2.json,11130326,10144295
puducherry,2023,3.json,12379641,11130326
puducherry,2023,4.json,12986163,12379641
puducherry,2024,1.json,13446950,12986163
puducherry,2024,2.json,14564895,13446950
puducherry,2024,3.json,16008711,14564895
puducherry,2024,4.json,16559677,16008711
punjab,2018,1.json,1870433,NULL
punjab,2018,2.json,2581163,1870433
punjab,2018,3.json,3462108,2581163
punjab,2018,4.json,4887137,3462108
punjab,2019,1.json,7172137,4887137
punjab,2019,2.json,8509830,7172137
punjab,2019,3.json,10706812,8509830
punjab,2019,4.json,13698625,10706812
punjab,2020,1.json,15217784,13698625
punjab,2020,2.json,14081294,15217784
punjab,2020,3.json,17209573,14081294
punjab,2020,4.json,22997925,17209573
punjab,2021,1.json,26770835,22997925
punjab,2021,2.json,32171248,26770835
punjab,2021,3.json,42533489,32171248
punjab,2021,4.json,52359360,42533489
punjab,2022,1.json,57758302,52359360
punjab,2022,2.json,72272823,57758302
punjab,2022,3.json,84177897,72272823
punjab,2022,4.json,91835180,84177897
punjab,2023,1.json,96910821,91835180
punjab,2023,2.json,117290289,96910821
punjab,2023,3.json,132161181,117290289
punjab,2023,4.json,142228995,132161181
punjab,2024,1.json,142537179,142228995
punjab,2024,2.json,171946137,142537179
punjab,2024,3.json,187554720,171946137
punjab,2024,4.json,199509220,187554720
rajasthan,2018,1.json,7591690,NULL
rajasthan,2018,2.json,9973697,7591690
rajasthan,2018,3.json,14257098,9973697
rajasthan,2018,4.json,20959723,14257098
rajasthan,2019,1.json,43956040,20959723
rajasthan,2019,2.json,50009286,43956040
rajasthan,2019,3.json,67303617,50009286
rajasthan,2019,4.json,85074242,67303617
rajasthan,2020,1.json,102258812,85074242
rajasthan,2020,2.json,101954656,102258812
rajasthan,2020,3.json,149088676,101954656
rajasthan,2020,4.json,190283435,149088676
rajasthan,2021,1.json,252730919,190283435
rajasthan,2021,2.json,287477039,252730919
rajasthan,2021,3.json,400284753,287477039
rajasthan,2021,4.json,487621597,400284753
rajasthan,2022,1.json,564962220,487621597
rajasthan,2022,2.json,661170150,564962220
rajasthan,2022,3.json,767541360,661170150
rajasthan,2022,4.json,865574848,767541360
rajasthan,2023,1.json,921096686,865574848
rajasthan,2023,2.json,1073459338,921096686
rajasthan,2023,3.json,1237232167,1073459338
rajasthan,2023,4.json,1349472154,1237232167
rajasthan,2024,1.json,1599474007,1349472154
rajasthan,2024,2.json,1818855106,1599474007
rajasthan,2024,3.json,1935405035,1818855106
rajasthan,2024,4.json,2043469547,1935405035
sikkim,2018,1.json,44078,NULL
sikkim,2018,2.json,74578,44078
sikkim,2018,3.json,108500,74578
sikkim,2018,4.json,154533,108500
sikkim,2019,1.json,240287,154533
sikkim,2019,2.json,388244,240287
sikkim,2019,3.json,552436,388244
sikkim,2019,4.json,767070,552436
sikkim,2020,1.json,528118,767070
sikkim,2020,2.json,517731,528118
sikkim,2020,3.json,596435,517731
sikkim,2020,4.json,735035,596435
sikkim,2021,1.json,800189,735035
sikkim,2021,2.json,976714,800189
sikkim,2021,3.json,1160594,976714
sikkim,2021,4.json,1584345,1160594
sikkim,2022,1.json,1744302,1584345
sikkim,2022,2.json,2322081,1744302
sikkim,2022,3.json,2396758,2322081
sikkim,2022,4.json,3058339,2396758
sikkim,2023,1.json,3396128,3058339
sikkim,2023,2.json,4412967,3396128
sikkim,2023,3.json,4804937,4412967
sikkim,2023,4.json,4857324,4804937
sikkim,2024,1.json,5820146,4857324
sikkim,2024,2.json,7188322,5820146
sikkim,2024,3.json,7713781,7188322
sikkim,2024,4.json,8916870,7713781
tamil-nadu,2018,1.json,6726622,NULL
tamil-nadu,2018,2.json,9992128,6726622
tamil-nadu,2018,3.json,15774078,9992128
tamil-nadu,2018,4.json,22457444,15774078
tamil-nadu,2019,1.json,32275045,22457444
tamil-nadu,2019,2.json,32171737,32275045
tamil-nadu,2019,3.json,41410183,32171737
tamil-nadu,2019,4.json,56596411,41410183
tamil-nadu,2020,1.json,66953473,56596411
tamil-nadu,2020,2.json,51870110,66953473
tamil-nadu,2020,3.json,70277825,51870110
tamil-nadu,2020,4.json,111179701,70277825
tamil-nadu,2021,1.json,136556674,111179701
tamil-nadu,2021,2.json,146158442,136556674
tamil-nadu,2021,3.json,204357404,146158442
tamil-nadu,2021,4.json,259155976,204357404
tamil-nadu,2022,1.json,294573150,259155976
tamil-nadu,2022,2.json,354506937,294573150
tamil-nadu,2022,3.json,393496175,354506937
tamil-nadu,2022,4.json,436316636,393496175
tamil-nadu,2023,1.json,461212387,436316636
tamil-nadu,2023,2.json,498429638,461212387
tamil-nadu,2023,3.json,556085008,498429638
tamil-nadu,2023,4.json,593481381,556085008
tamil-nadu,2024,1.json,640327197,593481381
tamil-nadu,2024,2.json,705083686,640327197
tamil-nadu,2024,3.json,778536701,705083686
tamil-nadu,2024,4.json,820423888,778536701
telangana,2018,1.json,8522766,NULL
telangana,2018,2.json,10764670,8522766
telangana,2018,3.json,19332703,10764670
telangana,2018,4.json,28921154,19332703
telangana,2019,1.json,65290702,28921154
telangana,2019,2.json,89610379,65290702
telangana,2019,3.json,121495376,89610379
telangana,2019,4.json,163572258,121495376
telangana,2020,1.json,199409525,163572258
telangana,2020,2.json,152055143,199409525
telangana,2020,3.json,236372126,152055143
telangana,2020,4.json,343643787,236372126
telangana,2021,1.json,412572110,343643787
telangana,2021,2.json,495867544,412572110
telangana,2021,3.json,622886768,495867544
telangana,2021,4.json,775989773,622886768
telangana,2022,1.json,886453385,775989773
telangana,2022,2.json,1063382557,886453385
telangana,2022,3.json,1628165401,1063382557
telangana,2022,4.json,1819506832,1628165401
telangana,2023,1.json,1440331458,1819506832
telangana,2023,2.json,1665430971,1440331458
telangana,2023,3.json,1875045924,1665430971
telangana,2023,4.json,2020822178,1875045924
telangana,2024,1.json,2179385307,2020822178
telangana,2024,2.json,2417264357,2179385307
telangana,2024,3.json,2610137835,2417264357
telangana,2024,4.json,2822451603,2610137835
tripura,2018,1.json,148157,NULL
tripura,2018,2.json,214559,148157
tripura,2018,3.json,377703,214559
tripura,2018,4.json,448059,377703
tripura,2019,1.json,580926,448059
tripura,2019,2.json,532558,580926
tripura,2019,3.json,711717,532558
tripura,2019,4.json,801824,711717
tripura,2020,1.json,924502,801824
tripura,2020,2.json,1052520,924502
tripura,2020,3.json,1317885,1052520
tripura,2020,4.json,1651890,1317885
tripura,2021,1.json,1511423,1651890
tripura,2021,2.json,1744429,1511423
tripura,2021,3.json,2081200,1744429
tripura,2021,4.json,2520693,2081200
tripura,2022,1.json,2871190,2520693
tripura,2022,2.json,3418664,2871190
tripura,2022,3.json,4256579,3418664
tripura,2022,4.json,5198190,4256579
tripura,2023,1.json,7118687,5198190
tripura,2023,2.json,7929543,7118687
tripura,2023,3.json,9108762,7929543
tripura,2023,4.json,10140910,9108762
tripura,2024,1.json,11042639,10140910
tripura,2024,2.json,12787547,11042639
tripura,2024,3.json,14400581,12787547
tripura,2024,4.json,15945159,14400581
uttar-pradesh,2018,1.json,12537805,NULL
uttar-pradesh,2018,2.json,17710943,12537805
uttar-pradesh,2018,3.json,26515356,17710943
uttar-pradesh,2018,4.json,36100767,26515356
uttar-pradesh,2019,1.json,57324504,36100767
uttar-pradesh,2019,2.json,58883500,57324504
uttar-pradesh,2019,3.json,68623959,58883500
uttar-pradesh,2019,4.json,86905005,68623959
uttar-pradesh,2020,1.json,97239132,86905005
uttar-pradesh,2020,2.json,100851965,97239132
uttar-pradesh,2020,3.json,127405259,100851965
uttar-pradesh,2020,4.json,178167517,127405259
uttar-pradesh,2021,1.json,204499547,178167517
uttar-pradesh,2021,2.json,241949131,204499547
uttar-pradesh,2021,3.json,306543384,241949131
uttar-pradesh,2021,4.json,406157932,306543384
uttar-pradesh,2022,1.json,473953246,406157932
uttar-pradesh,2022,2.json,595298776,473953246
uttar-pradesh,2022,3.json,703589072,595298776
uttar-pradesh,2022,4.json,836369071,703589072
uttar-pradesh,2023,1.json,1002557722,836369071
uttar-pradesh,2023,2.json,1211410582,1002557722
uttar-pradesh,2023,3.json,1354622466,1211410582
uttar-pradesh,2023,4.json,1566705382,1354622466
uttar-pradesh,2024,1.json,1785296948,1566705382
uttar-pradesh,2024,2.json,2135538658,1785296948
uttar-pradesh,2024,3.json,2285955833,2135538658
uttar-pradesh,2024,4.json,2544890265,2285955833
uttarakhand,2018,1.json,1246685,NULL
uttarakhand,2018,2.json,1704122,1246685
uttarakhand,2018,3.json,2229132,1704122
uttarakhand,2018,4.json,3178761,2229132
uttarakhand,2019,1.json,5546001,3178761
uttarakhand,2019,2.json,4813275,5546001
uttarakhand,2019,3.json,5710476,4813275
uttarakhand,2019,4.json,7362116,5710476
uttarakhand,2020,1.json,9131784,7362116
uttarakhand,2020,2.json,9047770,9131784
uttarakhand,2020,3.json,11818935,9047770
uttarakhand,2020,4.json,17613271,11818935
uttarakhand,2021,1.json,20608402,17613271
uttarakhand,2021,2.json,24000432,20608402
uttarakhand,2021,3.json,31042284,24000432
uttarakhand,2021,4.json,40361280,31042284
uttarakhand,2022,1.json,44560772,40361280
uttarakhand,2022,2.json,58166878,44560772
uttarakhand,2022,3.json,63996519,58166878
uttarakhand,2022,4.json,77983880,63996519
uttarakhand,2023,1.json,79385675,77983880
uttarakhand,2023,2.json,102758214,79385675
uttarakhand,2023,3.json,106284687,102758214
uttarakhand,2023,4.json,118071440,106284687
uttarakhand,2024,1.json,123234577,118071440
uttarakhand,2024,2.json,158564982,123234577
uttarakhand,2024,3.json,159278815,158564982
uttarakhand,2024,4.json,171136132,159278815
west-bengal,2018,1.json,11710225,NULL
west-bengal,2018,2.json,18082446,11710225
west-bengal,2018,3.json,53705416,18082446
west-bengal,2018,4.json,36513548,53705416
west-bengal,2019,1.json,47626388,36513548
west-bengal,2019,2.json,47023535,47626388
west-bengal,2019,3.json,66444829,47023535
west-bengal,2019,4.json,96805838,66444829
west-bengal,2020,1.json,66250381,96805838
west-bengal,2020,2.json,57676797,66250381
west-bengal,2020,3.json,79954504,57676797
west-bengal,2020,4.json,100340645,79954504
west-bengal,2021,1.json,118254052,100340645
west-bengal,2021,2.json,141897437,118254052
west-bengal,2021,3.json,181712988,141897437
west-bengal,2021,4.json,225029560,181712988
west-bengal,2022,1.json,260505092,225029560
west-bengal,2022,2.json,315742141,260505092
west-bengal,2022,3.json,356792388,315742141
west-bengal,2022,4.json,405847597,356792388
west-bengal,2023,1.json,459278344,405847597
west-bengal,2023,2.json,545317686,459278344
west-bengal,2023,3.json,632093191,545317686
west-bengal,2023,4.json,737953238,632093191
west-bengal,2024,1.json,836408587,737953238
west-bengal,2024,2.json,980480707,836408587
west-bengal,2024,3.json,1084916445,980480707
west-bengal,2024,4.json,1227135682,1084916445
