state_name,year,quarter_file,total_transactions,previous_quarter_transactions
bihar,2024,4.json,1559667675,1352876223
chandigarh,2018,1.json,381895,NULL
chandigarh,2018,2.json,479084,381895
chandigarh,2018,3.json,616936,479084
chandigarh,2018,4.json,905116,616936
chandigarh,2019,1.json,1274476,905116
chandigarh,2019,2.json,1252470,1274476
chandigarh,2019,3.json,1506543,1252470
chandigarh,2019,4.json,1850915,1506543
chandigarh,2020,1.json,2262511,1850915
chandigarh,2020,2.json,1528010,2262511
chandigarh,2020,3.json,2158086,1528010
chandigarh,2020,4.json,2912716,2158086
chandigarh,2021,1.json,3970237,2912716
chandigarh,2021,2.json,4417547,3970237
chandigarh,2021,3.json,6649378,4417547
chandigarh,2021,4.json,7898903,6649378
chandigarh,2022,1.json,8600491,7898903
chandigarh,2022,2.json,10772489,8600491
chandigarh,2022,3.json,13478173,10772489
chandigarh,2022,4.json,17904840,13478173
chandigarh,2023,1.json,9815605,17904840
chandigarh,2023,2.json,11553687,9815605
chandigarh,2023,3.json,13052165,11553687
chandigarh,2023,4.json,13280078,13052165
chandigarh,2024,1.json,13155173,13280078
chandigarh,2024,2.json,15940973,13155173
chandigarh,2024,3.json,17708385,15940973
chandigarh,2024,4.json,18528444,17708385
chhattisgarh,2018,1.json,1891514,NULL
chhattisgarh,2018,2.json,2816156,1891514
chhattisgarh,2018,3.json,3859604,2816156
chhattisgarh,2018,4.json,5365844,3859604
chhattisgarh,2019,1.json,7887669,5365844
chhattisgarh,2019,2.json,9389945,7887669
chhattisgarh,2019,3.json,12243111,9389945
chhattisgarh,2019,4.json,16305758,12243111
chhattisgarh,2020,1.json,19523991,16305758
chhattisgarh,2020,2.json,18820925,19523991
chhattisgarh,2020,3.json,24148539,18820925
chhattisgarh,2020,4.json,35529636,24148539
chhattisgarh,2021,1.json,39436437,35529636
chhattisgarh,2021,2.json,44689420,39436437
chhattisgarh,2021,3.json,64237938,44689420
chhattisgarh,2021,4.json,84717494,64237938
chhattisgarh,2022,1.json,97413292,84717494
chhattisgarh,2022,2.json,116584048,97413292
